"Gene.Symbol","EC53.veh","EC53.fs","EC53.bs","EC53.cbd","EC53.iso","EC268.bs","EC268.veh","EC268.iso","EC268.fs","EC291.veh","EC268.cbd","EC291.fs","EC291.bs","EC291.cbd","EC291.iso"
"MVP",1891.5,1828.7,1751.1,2162.1,1940.3,1719.5,1733.4,1577,1615.3,1814.6,2123.2,2681.8,2245.5,2352.5,2326.9
"SFPQ",9339.1,9343.5,10029,12520.2,10896,9211.5,7830.9,9155.3,8118,9423,10001.2,12115.7,10691.1,11536.5,9620.9
"RPL10",11972.5,13107.4,12455.6,22586.1,13632.5,12178.3,9248.7,11668.1,9713.3,13408.4,14298.1,21368.1,15787.3,19266.3,15376.2
"SPTBN1",10679,12321.9,12199.4,15457.7,12537.5,10010.9,8115.2,9539.8,7544.3,8256.9,8239.3,9444.7,8540.1,9127.3,8776.4
"TUBA8",82.6,76.4,71.6,74.2,59,71.9,59.7,62.6,79.5,51.9,54.2,55,59,72.8,43.3
"CLIC1",4644.5,3481.4,3275,3782.7,4529.7,4296.5,3496.2,3147.2,4778,6185,3471.9,4203.6,3919.3,3864.2,4113.8
"HSP90AB3P",266.9,340,363.9,314.4,347.2,289.5,349.3,337.8,333.8,351.9,505.3,392.1,404,400.2,495.7
"EPB41L2",5310.8,5270.7,5323.3,5392.9,5556.4,6055.3,5462.7,6593.3,5633.1,6582.1,8936,12244.2,10333.6,11708.9,9594.7
"ANXA5",6425.7,5424.2,5304.2,5824.9,6340.8,5357,5119.3,4554.8,5488.3,6660.6,6297.2,9043.1,8563.5,8694.5,8738.5
"RPL4",21802.8,18695.2,17668.8,22659,22154,19643,17371.7,18292.1,19126.2,23558.3,19616.8,22500,20909.1,21789,19848.3
"ATP1A1",250.4,230.3,238.1,176.7,201.2,234.4,236.9,288.5,245.1,233.7,302.5,173.7,316.7,239,272.5
"H1-1",2535.7,2776.6,2950.5,2942.1,2754,3022.5,2948.5,2783.8,2731.1,2486.8,2574.2,3079.2,2743.7,3032.3,2352.8
"RPS2",17355,15825.4,14731.8,15432.1,17756.6,15461.3,14041.7,15054,15715.9,18883.5,19611.9,18721.3,18297.4,18494.8,20229.7
"CTNNB1",4450.7,5095.4,4891.9,7920.7,5099.2,4262.3,3312,3633.9,3323.4,3695.4,4865.8,7005.1,5433.5,6294.6,5390.2
"DDX17",3209.4,3689.6,3816.4,6578.3,3608.6,3973.4,2934.3,3488.1,2811.4,3584.4,3483.2,5462,4070.1,4881,3758.9
"DDX17",168.6,215.7,236.8,235,212.4,220.5,147.8,201.2,141.4,179.5,148.6,203.7,161.8,177.7,147.6
"PKP2",7998.8,8796.4,9191.5,8323.4,8270,11416.1,11194.8,11321.6,11771,10222.3,9347.4,9428.6,9911.8,10048.8,8949.5
"CCT7",9355.1,9007.8,8198.5,11187.2,9995.4,7770.4,7307.4,7697.4,7827.9,8975.6,8631.7,10320.7,9330.4,9608.7,9310.8
"KRT5",9963.6,13353.3,13975.6,17211.4,11020.2,7449,5814.9,8649.7,5746.7,5720.4,4455.8,3756.2,4187.1,4400.3,3811.3
"HSD17B4",9248.2,8500.5,7805.6,9793.4,9559.4,7773.3,6988.4,6688.7,7568.5,9198.7,8839.9,12457.6,10477.6,11026.3,10594.8
"AIFM1",8449.3,8152.9,7944.3,8623.2,8912.8,7736.8,6870,6743.1,7113.5,7581.9,6838.2,7122.9,7275,7563.3,7501.2
"HSPA1L",374.7,595,533.6,1384.5,459,689.8,409.1,392.2,469.3,459.6,651.6,1257.4,694.7,971.3,630.4
"ALYREF",2386.2,2386.6,2668.5,2551.4,2676.3,3041.7,2748,3406.5,2794.7,2793.4,2467.7,2238.4,2429.3,2379.4,2298.9
"COPA",7071.5,7402.4,7618.5,9229.1,7637.7,7243.1,5756.2,5950.6,5884.7,5956.8,7180.4,8587.1,7539.2,8705.7,7626
"NONO",8911.8,9499.6,9674.1,10742,9781.1,9786.4,9315.2,11016.7,9155.4,10333.3,10074.4,10914.9,10394.4,10402.5,9964.8
"KHSRP",9542,8865.8,8762.4,11085.8,10877.3,9894.9,7180.8,8823.7,8849.2,9723.5,9109,10514.8,10230.3,10071.5,9189
"TNKS1BP1",5162.6,5398.3,5371.9,6261.3,5533.4,3895.6,3046.6,3322.3,3182.8,3389.9,4645.5,4792.7,4741.1,4741.6,4725.6
"PDIA6",9678.5,9722.8,9406.4,16644.3,11114.6,7932.7,6066,6546,6643.4,7933.2,7463.1,12531.3,8610.5,9526.4,7771.8
"KRT16",4883.6,5641.5,6272.6,9203.8,5256.4,3374.1,2090.1,1797.3,1792.6,1586,1501.6,1311.5,1438,1483.2,1444.5
"PHGDH",4005.1,4393.4,4282.8,7408.5,4945.2,3772.1,2988,3324.9,3244.7,3632.4,3459.3,4218.3,3713.6,3962.4,3652.3
"RPL30",9596.8,9556.6,8917.3,6529.5,8502.2,9690.7,11234,9326.2,11162.1,10205.2,8390.6,6487,9037.4,7869.2,8285.7
"MTHFD1",4375.1,4897.5,4781.6,5861.9,4627.8,5153.4,4198.9,4725.2,4376.2,5150.9,5914.8,7161.7,6298.7,7147.7,6148.9
"H2AJ",19844.6,18428.8,16799.7,21437.8,18544.2,21336.4,20316.3,21995.8,23315.4,28920.2,16295.3,21883.4,19147.1,20379.8,15625.6
"ALDOC",1028.4,935.1,936.8,1479,1169.5,899.8,683.5,766.4,760.4,1009.7,633.1,609,648.1,616.1,603.8
"LDHA",18108.7,13421.1,12003.9,16475.2,19046.7,11451.4,9395.2,10181.5,11623,14956.1,10889,14395.7,12247.8,12144.9,12941.5
"CAPS",11337.1,13379.7,12829.8,17483.6,13336.3,8718.4,6931.7,8273.4,6973,7371.5,10261.3,9994.1,10147.6,9951.8,10148.1
"PKP3",4931.4,6031,6259.7,7309.3,5795.5,4924.2,4575.6,5129.2,4652.5,4533.9,4824.3,5109,4903.3,5097.5,4792
"ANXA4",4389.8,4225,3951.8,5274.3,4640.9,4686.4,3759.5,4024.5,5341.8,6092.7,4224.6,5774.6,5290.5,5443.7,4959
"FLNB",8970,8630.7,8339.2,11167.4,8858.1,8122.6,7275.4,7000.3,8141.5,7758.7,7591.3,9423,7803.8,8549.2,7888.3
"RPS7",14985.4,14425.5,13236.9,15575.2,14966,12836.8,11253.2,11641.9,12086.4,14309.9,12526.7,14201.9,14264.8,13638.1,12951.7
"RPSA",9916.7,10552.4,9752.2,8658.1,10056.9,9867,9082.4,8718.5,9469.9,9368.3,11671.5,10397.5,11028.4,10290.9,11447.2
"RPL24",13645.9,13377.5,13113,14482.1,13299,13962.8,14092.3,13550,14033.8,14978.8,12906.9,13881.6,14674.3,14380,13012.8
